,ID,Дата,Цена,Район,Залог,Комиссия,Предоплата,Срок аренды,Общая площадь,Год постройки
1165,292477582,26 08 15:43,35000,Кировский,20000,0,1 месяц,несколько месяцев,20.5,
1166,292990238,30 09 23:04,37000,Приморский,37000,0.5,1 месяц,от года,68,
1167,292878646,29 08 14:20,37000,Московский,37000,0.5,1 месяц,от года,61.9,1967
1168,292976917,28 08 16:18,35000,Кировский,20000,0.5,1 месяц,от года,27,
1169,261653018,28 08 10:25,36000,Фрунзенский,36000,0.5,1 месяц,от года,57,2008
1170,293175226,30 09 16:11,38000,Красносельский,38000,0.5,1 месяц,от года,65,1980
1171,291523247,29 08 17:54,38000,Красногвардейский,38000,0.2,,от года,49.5,1984
1172,292348870,21 08 18:02,37000,Приморский,18500,0.1,1 месяц,от года,25,
1173,292289311,7 08 19:38,42000,Невский,42000,0.5,1 месяц,несколько месяцев,25,2021
1174,292288982,7 08 19:14,42000,Невский,42000,0.5,1 месяц,несколько месяцев,25,2021
1175,292282583,7 08 16:05,42000,Приморский,42000,0.5,1 месяц,несколько месяцев,20,1961
1176,292955671,29 08 12:55,38000,Приморский,38000,0.5,1 месяц,от года,60,2008
1177,292644716,28 08 16:54,40000,Выборгский,30000,0,1 месяц,несколько месяцев,41,1978
1178,279313887,25 08 17:11,38000,Московский,38000,0.5,1 месяц,от года,37,2014
1179,277290277,01 10 02:53,40000,Приморский,40000,1.0,1 месяц,от года,43,2015
1180,292905049,01 10 00:21,40000,Фрунзенский,40000,0.4,1 месяц,от года,32,2022
1181,280524536,29 08 13:01,40000,Калининский,40000,0.7,1 месяц,от года,44,2017
1182,293006779,01 10 11:24,40000,Калининский,40000,0.7,1 месяц,от года,61.4,1971
1183,292703249,30 09 12:05,40000,Адмиралтейский,40000,0,1 месяц,несколько месяцев,15,
1184,292945824,29 08 22:21,40000,Выборгский,40000,0.25,1 месяц,от года,53.7,2014
1185,293142582,29 08 18:00,40000,Адмиралтейский,4000,0.5,1 месяц,от года,41,2021
1186,292950579,28 08 17:17,43000,Выборгский,43000,1.0,1 месяц,от года,26,2022
1187,278717159,28 08 12:44,40000,Центральный,40000,0.5,1 месяц,от года,23,1917
1188,284679631,27 08 20:21,38000,Колпинский,38000,1.0,1 месяц,от года,55.2,2016
1189,291002160,27 08 10:27,38000,Калининский,38000,0.5,,от года,55.7,1972
1190,292322008,22 08 14:53,38000,Выборгский,50000,1.0,2 месяца,от года,52,1957
1191,290462226,21 08 20:12,43000,Фрунзенский,43000,0.5,1 месяц,от года,50,1966
1192,248397564,19 08 12:18,40000,Адмиралтейский,40000,0,1 месяц,несколько месяцев,15,
1193,270864756,29 08 12:17,38000,Московский,35000,0,1 месяц,несколько месяцев,30,2021
1194,292550732,28 08 19:49,39000,Центральный,39000,0.5,1 месяц,от года,30,1914
1195,278214754,25 08 18:57,40000,Калининский,40000,0.6,1 месяц,от года,70,1981
1196,292050514,29 08 16:24,40000,Приморский,40000,0.5,1 месяц,от года,43.6,2022
